subject,rank,train_mse,train_r2,test_mse,test_r2
AM,3,2.5304067061511027e-09,0.7680654868729337,3.2411925913398293e-09,0.48772695661375853
CL,3,2.0597690101877677e-09,0.7726575318625819,2.019799314633816e-09,0.7455883708570217
CQ,3,9.318501805074211e-09,0.6552150013749715,7.588207961707672e-09,0.6583102596340841
DB,3,7.755242666065321e-09,0.9901510515257869,1.0630285472994263e-09,0.22970617540649974
DC,3,2.477168771430117e-09,0.6365434411203066,2.3526595965684635e-09,0.49807054205290857
DL,3,4.246590110190278e-09,0.6614735508904122,4.437745259259013e-09,0.6946420174283544
ErL,3,1.5962363681709411e-09,0.7607953217468155,1.1033169268119235e-07,0.11984370290220903
EvL,3,5.707733153770156e-09,0.675694921197025,4.031070582571721e-09,0.7637928532625338
HZ,3,4.536377577780787e-10,0.7997282067358462,7.869977399590659e-10,0.6645179368264346
KM,3,1.3597426769803756e-09,0.804143169323065,1.04432466813512e-09,0.8305923331064917
LS,3,2.3180557881310125e-09,0.6360489187144827,3.006065544956653e-09,0.68526367340372
S_extra,3,6.665367243628055e-10,0.750661768556534,7.491040008929056e-10,0.7744834799271569
TL,3,5.445118982458476e-10,0.9377702363533744,2.0233963772119256e-09,0.23572235463740576
